"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"HRS","Harris Corporation","163.3","19263012357.2","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/hrs",
"HSC","Harsco Corporation","20.63","1651954697.43","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/hsc",
"HCHC","HC2 Holdings, Inc.","2.46","110630714.1","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/hchc",
"HEI","Heico Corporation","98.23","13061400864.82","n/a","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/hei",
"HMC","Honda Motor Company, Ltd.","27.89","49094080654.99","n/a","n/a","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/hmc",
"HON","Honeywell International Inc.","161.47","117609881778.61","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/hon",
"HZN","Horizon Global Corporation","2.02","50915328.16","n/a","2015","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/hzn",
"HOV","Hovnanian Enterprises Inc","12.6","74833705.8","n/a","n/a","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/hov",
"HUBB","Hubbell Inc","119.46","6511201943.4","n/a","2015","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/hubb",
"HII","Huntington Ingalls Industries, Inc.","212.44","8849586949.88","n/a","n/a","Capital Goods","Marine Transportation","https://www.nasdaq.com/symbol/hii",
"HY","Hyster-Yale Materials Handling, Inc.","64.94","829646230.14","n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","https://www.nasdaq.com/symbol/hy",
"IEX","IDEX Corporation","155.78","11807185425.5","n/a","1989","Capital Goods","Fluid Controls","https://www.nasdaq.com/symbol/iex",
"IR","Ingersoll-Rand plc (Ireland)","110.18","26682139763.58","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/ir",
"ITT","ITT Inc.","59.59","5208166000","n/a","2011","Capital Goods","Fluid Controls","https://www.nasdaq.com/symbol/itt",
"JHX","James Hardie Industries plc.","13.05","5771544064.65","n/a","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/jhx",
"KBH","KB Home","24.18","2102576542.56","n/a","1986","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/kbh",
"KEM","Kemet Corporation","17.92","1035539671.04","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/kem",
"KMT","Kennametal Inc.","37.82","3110075319.3","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/kmt",
"KEYS","Keysight Technologies Inc.","89.14","16757314768.22","n/a","2014","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/keys",
