"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"JBK","Lehman ABS Corporation","26.5","0","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/jbk",
"KTH","Lehman ABS Corporation","31.15","0","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/kth",
"KTN","Lehman ABS Corporation","31.371","0","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/ktn",
"KTP","Lehman ABS Corporation","7.3647","0","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/ktp",
"LEJU","Leju Holdings Limited","1.57","213149420.34","n/a","2014","Finance","Real Estate","https://www.nasdaq.com/symbol/leju",
"LHC","Leo Holdings Corp.","10.05","251250000","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/lhc",
"LNC","Lincoln National Corporation","61.91","12647829900.92","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/lnc",
"LYG","Lloyds Banking Group Plc","3.28","58369732186.96","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/lyg",
"L","Loews Corporation","48.68","15149216000","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/l",
"MTB","M&T Bank Corporation","161.73","22393342490.94","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/mtb",
"BMA","Macro Bank Inc.","46.5","3113933043","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bma",
"MHLA","Maiden Holdings, Ltd.","16.15","0","n/a","2016","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/mhla",
"MHNC","Maiden Holdings, Ltd.","19.94","0","n/a","2013","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/mhnc",
"MN","Manning & Napier, Inc.","2.14","33564986.22","n/a","2011","Finance","Investment Managers","https://www.nasdaq.com/symbol/mn",
"MFC","Manulife Financial Corp","17.44","34254966148.32","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/mfc",
"MMI","Marcus & Millichap, Inc.","41.12","1604734111.2","n/a","2013","Finance","Real Estate","https://www.nasdaq.com/symbol/mmi",
"MKL","Markel Corporation","984.19","13646103385.66","n/a","1986","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/mkl",
"VAC","Marriot Vacations Worldwide Corporation","96.78","4364718770.64","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/vac",
"MMC","Marsh & McLennan Companies, Inc.","94.81","47889382393.8","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/mmc",
"MLP","Maui Land & Pineapple Company, Inc.","11.5","221092031","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/mlp",
"MBI","MBIA, Inc.","9.51","857608300.32","n/a","1987","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/mbi",
"MDLQ","Medley LLC","18.62","0","n/a","2017","Finance","Investment Managers","https://www.nasdaq.com/symbol/mdlq",
"MDLX","Medley LLC","17.9209","0","n/a","2016","Finance","Investment Managers","https://www.nasdaq.com/symbol/mdlx",
"MDLY","Medley Management Inc.","3.5","106166256","n/a","2014","Finance","Investment Managers","https://www.nasdaq.com/symbol/mdly",
"MFAC","Megalith Financial Acquisition Corp.","9.97","210976276.67","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/mfac",
"MCY","Mercury General Corporation","50.37","2787479678.49","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/mcy",
"PIY","Merrill Lynch Depositor, Inc.","12.06","0","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/piy",
"MET","MetLife, Inc.","44.13","42244362257.46","n/a","2000","Finance","Life Insurance","https://www.nasdaq.com/symbol/met",
"MCB","Metropolitan Bank Holding Corp.","35.8","295825889.4","n/a","2017","Finance","Major Banks","https://www.nasdaq.com/symbol/mcb",
"MFCB","MFC Bancorp Ltd.","7.35","92130787.35","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/mfcb",
"MTG","MGIC Investment Corporation","13.46","4790752828.58","n/a","1991","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/mtg",
"MSL","MidSouth Bancorp","11.86","198230068.06","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/msl",
"MUFG","Mitsubishi UFJ Financial Group Inc","5.08","65646351582.32","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/mufg",
"MFG","Mizuho Financial Group, Inc.","3.13","39685761225.33","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/mfg",
"MC","Moelis & Company","43.19","1967867827.17","n/a","2014","Finance","Investment Managers","https://www.nasdaq.com/symbol/mc",
"MCO","Moody&#39;s Corporation","184.48","34831653672.64","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/mco",
"MS","Morgan Stanley","43.53","74383522791.51","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ms",
"MOSC","Mosaic Acquisition Corp.","10.08","347760000","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/mosc",
"HJV","MS Structured Asset Corp Saturns GE Cap Corp Series 2002-14","6.62","0","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/hjv",
