"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"EC","Ecopetrol S.A.","21.88","44981663979.92","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ec",
"EMR","Emerson Electric Company","70.13","43103290711.67","n/a","n/a","Energy","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/emr",
"ENB","Enbridge Inc","36.4","73642014919.2","n/a","n/a","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/enb",
"ENBA","Enbridge Inc","26.1","0","n/a","2018","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/enba",
"ECA","Encana Corporation","7.4","11032661539.2","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/eca",
"ERF","Enerplus Corporation","8.66","2067407013.32","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/erf",
"E","ENI S.p.A.","35.56","64615815167.4","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/e",
"ESV","ENSCO plc","4.08","1784545716.48","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/esv",
"EOG","EOG Resources, Inc.","96.94","56230828239.46","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/eog",
"EPE","EP Energy Corporation","0.2626","67287630.8468","n/a","2014","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/epe",
"EQT","EQT Corporation","20.55","5235359100","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/eqt",
"EQNR","Equinor ASA","22.3","74284782189.6","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/eqnr",
"XOM","Exxon Mobil Corporation","81.73","346110402685.63","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/xom",
"FELP","Foresight Energy LP","2.56","373462592","n/a","2014","Energy","Coal Mining","https://www.nasdaq.com/symbol/felp",
"FET","Forum Energy Technologies, Inc.","5.34","586849221.72","n/a","2012","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/fet",
"FI","Frank&#39;s International N.V.","6.25","1405899112.5","n/a","2013","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/fi",
"FTSI","FTS International, Inc.","10.24","1124294512.64","n/a","2018","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/ftsi",
"GE","General Electric Company","10.1","87967342971.8","n/a","n/a","Energy","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/ge",
"GEL","Genesis Energy, L.P.","23.38","2865902116.84","n/a","1996","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/gel",
"GPRK","Geopark Ltd","17.42","1053910000","n/a","2014","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/gprk",
"GLP","Global Partners LP","19.47","661893611.61","n/a","2005","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/glp",
"EAF","GrafTech International Ltd.","13.29","3861244863.48","n/a","2018","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/eaf",
"HK","Halcon Resources Corporation","1.39","222763868.64","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/hk",
"HAL","Halliburton Company","30.14","26298441257.88","n/a","n/a","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/hal",
"HLX","Helix Energy Solutions Group, Inc.","8.22","1223015256.42","n/a","n/a","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/hlx",
"HP","Helmerich & Payne, Inc.","57.52","6292994351.52","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/hp",
"HES","Hess Corporation","60.84","18436604500.08","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/hes",
"HESM","Hess Midstream Partners LP","21.27","1160846089.95","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/hesm",
"HPR","HighPoint Resources Corporation","2.29","0","n/a","2018","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/hpr",
"HEP","Holly Energy Partners, L.P.","27.15","2862701457.15","n/a","2004","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/hep",
"HFC","HollyFrontier Corporation","49.12","8387995662.08","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/hfc",
"ICD","Independence Contract Drilling, Inc.","2.76","212735975.52","n/a","2014","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/icd",
"IO","Ion Geophysical Corporation","16.24","227613587.6","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/io",
"JAG","Jagged Peak Energy Inc.","10.67","2276535963.24","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/jag",
"FRAC","Keane Group, Inc.","11.23","1172469508.83","n/a","2017","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/frac",
"KEG","Key Energy Services, Inc.","4.09","83331610.93","n/a","2016","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/keg",
"KRP","Kimbell Royalty Partners","18.41","690554405.45","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/krp",
"PHG","Koninklijke Philips N.V.","40.97","37454122044.39","n/a","n/a","Energy","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/phg",
"KOS","Kosmos Energy Ltd.","6.47","2596101313.45","n/a","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/kos",
"LPI","Laredo Petroleum, Inc.","3.16","755887670.44","n/a","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/lpi",
"LBRT","Liberty Oilfield Services Inc.","15.43","1733006192.68","n/a","2018","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/lbrt",
"MIC","Macquarie Infrastructure Corporation ","42.06","3611286363.06","n/a","2004","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/mic",
"MMP","Magellan Midstream Partners L.P.","61.07","13948597347.96","n/a","n/a","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/mmp",
"MGY","Magnolia Oil & Gas Corporation","12.44","3106012457.52","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/mgy",
