"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"SUZ","Suzano Papel e Celulose S.A.","24.54","16554948786.6","n/a","n/a","Basic Industries","Paper","https://www.nasdaq.com/symbol/suz",
"TECK","Teck Resources Ltd","23.62","13207235856.36","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/teck",
"TS","Tenaris S.A.","28.84","17023341088.6","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/ts",
"TX","Ternium S.A.","27.93","5599248427.92","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/tx",
"AES","The AES Corporation","17.92","11870281489.92","n/a","n/a","Basic Industries","Electric Utilities: Central","https://www.nasdaq.com/symbol/aes",
"TMST","TimkenSteel Corporation","11.37","508972876.65","n/a","2014","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/tmst",
"TWI","Titan International, Inc.","5.89","353084219.43","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/twi",
"BLD","TopBuild Corp.","65.27","2269137135.84","n/a","2015","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/bld",
"TREX","Trex Company, Inc.","64.41","3791576386.29","n/a","n/a","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/trex",
"TSE","Trinseo S.A.","47.82","1974479622.78","n/a","2014","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/tse",
"TROX","Tronox Holdings plc","13.56","1278627440.04","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/trox",
"TRQ","Turquoise Hill Resources Ltd.","1.65","3320318873.85","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/trq",
"TPC","Tutor Perini Corporation","17.57","880317528.65","n/a","n/a","Basic Industries","General Bldg Contractors - Nonresidential Bldgs","https://www.nasdaq.com/symbol/tpc",
"SLCA","U.S. Silica Holdings, Inc.","17.25","1267346322","n/a","2012","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/slca",
"UN","Unilever NV","57.96","151521062049","n/a","n/a","Basic Industries","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/un",
"UL","Unilever PLC","57.53","151260490968.62","n/a","n/a","Basic Industries","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/ul",
"X","United States Steel Corporation","20.15","3492892622.05","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/x",
"VALE","VALE S.A.","13.58","69639847844.84","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/vale",
"VHI","Valhi, Inc.","2.4","814010277.6","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/vhi",
"VVV","Valvoline Inc.","18.88","3552849293.76","n/a","2016","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/vvv",
"VNTR","Venator Materials PLC","5.7","607171432.8","n/a","2017","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/vntr",
"VRS","Verso Corporation","22.07","761063932.51","n/a","2016","Basic Industries","Paper","https://www.nasdaq.com/symbol/vrs",
"VSM","Versum Materials, Inc.","50.4","5500855281.6","n/a","2016","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/vsm",
"VMC","Vulcan Materials Company","120.19","15873255804.56","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/vmc",
"GRA","W.R. Grace & Co.","78.6","5255018599.8","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/gra",
"WST","West Pharmaceutical Services, Inc.","111.78","8242375402.62","n/a","n/a","Basic Industries","Specialty Chemicals","https://www.nasdaq.com/symbol/wst",
"WLK","Westlake Chemical Corporation","69.79","8966224607.34","n/a","2004","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/wlk",
"WLKP","Westlake Chemical Partners LP","22.77","801235063.53","n/a","2014","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/wlkp",
"WPM","Wheaton Precious Metals Corp.","23.76","10557431937.36","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/wpm",
"XIN","Xinyuan Real Estate Co Ltd","4.97","320183845.73","n/a","2007","Basic Industries","Homebuilding","https://www.nasdaq.com/symbol/xin",
"AUY","Yamana Gold Inc.","2.53","2402796844.69","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/auy",
